experiment_id,model,strategy,accuracy,precision_macro,recall_macro,f1_macro,status,kaggle_kernel_id,timestamp
B01,LSTM,Class Weight,0.7265895953757225,0.6811508547405486,0.7083648834697275,0.6899887218721723,SUCCESS,emanuelembuaijdak/baseline-b01-lstm,2026-09-02T02:57:04.077583
B02,BiLSTM,baseline,0.7526011560693642,0.6963074587751645,0.6837416343106683,0.6880393982089981,SUCCESS,emanuelembuaijdak/baseline-b02-bilstm,2026-09-02T03:00:31.479277
B02,BiLSTM,1:1:1,0.661849710982659,0.6525347665947007,0.6858093411108932,0.6443856236551472,SUCCESS,emanuelembuaijdak/baseline-b02-bilstm,2026-09-02T03:00:31.479413
B02,BiLSTM,6:3:1,0.7479768786127168,0.7025721172773983,0.6151727391889475,0.6084380205638019,SUCCESS,emanuelembuaijdak/baseline-b02-bilstm,2026-09-02T03:00:31.479528
B02,BiLSTM,8:1:1,0.6982658959537572,0.477308967258716,0.5260364251293833,0.4908438891150065,SUCCESS,emanuelembuaijdak/baseline-b02-bilstm,2026-09-02T03:00:31.479646
B02,BiLSTM,Class Weight,0.715028901734104,0.6693158564867581,0.6973064907894138,0.6777754700404438,SUCCESS,emanuelembuaijdak/baseline-b02-bilstm,2026-09-02T03:00:31.479747
B03,IndoBERTweet-LoRA,baseline,0.7872832369942196,0.742353589490872,0.7291602493390551,0.7344524585699365,SUCCESS,emanuelembuaijdak/baseline-b03-indobert,2026-09-02T04:53:21.761023
B03,IndoBERTweet-LoRA,1:1:1,0.6913294797687861,0.6679218193337118,0.7125096512120935,0.6694009821857495,SUCCESS,emanuelembuaijdak/baseline-b03-indobert,2026-09-02T04:53:21.761134
B03,IndoBERTweet-LoRA,6:3:1,0.784971098265896,0.7669177135600272,0.6894393383560877,0.697294724941124,SUCCESS,emanuelembuaijdak/baseline-b03-indobert,2026-09-02T04:53:21.761228
B03,IndoBERTweet-LoRA,8:1:1,0.7791907514450868,0.7581197596560992,0.6680433209385076,0.6828356719708945,SUCCESS,emanuelembuaijdak/baseline-b03-indobert,2026-09-02T04:53:21.761314
B03,IndoBERTweet-LoRA,Class Weight,0.81,0.74,0.73,0.735,SUCCESS,emanuelembuaijdak/baseline-b03-indobert,2026-09-02T04:53:21.761400
